movieId,title,genres
1,Toy Story,"['animation', 'comedy', 'family']"
2,Jumanji,"['adventure', 'fantasy', 'family']"
3,Grumpier Old Men,"['romance', 'comedy']"
4,Waiting to Exhale,"['comedy', 'drama', 'romance']"
5,Father of the Bride Part II,['comedy']
6,Heat,"['action', 'crime', 'drama', 'thriller']"
7,Sabrina,"['comedy', 'romance']"
8,Tom and Huck,"['action', 'adventure', 'drama', 'family']"
9,Sudden Death,"['action', 'adventure', 'thriller']"
10,GoldenEye,"['adventure', 'action', 'thriller']"
11,The American President,"['comedy', 'drama', 'romance']"
12,Dracula: Dead and Loving It,"['comedy', 'horror']"
13,Balto,"['family', 'animation', 'adventure']"
14,Nixon,"['history', 'drama']"
15,Cutthroat Island,"['action', 'adventure']"
16,Casino,"['drama', 'crime']"
17,Sense and Sensibility,"['drama', 'romance']"
18,Four Rooms,"['crime', 'comedy']"
19,Ace Ventura: When Nature Calls,"['crime', 'comedy', 'adventure']"
20,Money Train,"['action', 'comedy', 'crime']"
21,Get Shorty,"['comedy', 'thriller', 'crime']"
22,Copycat,"['drama', 'thriller']"
23,Assassins,"['action', 'adventure', 'crime', 'thriller']"
24,Powder,"['drama', 'fantasy', 'science fiction', 'thriller']"
25,Leaving Las Vegas,"['drama', 'romance']"
26,Othello,['drama']
27,Now and Then,"['comedy', 'drama', 'family']"
28,Persuasion,"['drama', 'romance']"
29,The City of Lost Children,"['fantasy', 'science fiction', 'adventure']"
30,Shanghai Triad,"['drama', 'crime']"
31,Dangerous Minds,"['drama', 'crime']"
32,Twelve Monkeys,"['science fiction', 'thriller', 'mystery']"
33,Wings of Courage,"['romance', 'adventure']"
34,Babe,"['fantasy', 'drama', 'comedy', 'family']"
35,Carrington,"['history', 'drama', 'romance']"
36,Dead Man Walking,['drama']
37,Across the Sea of Time,"['adventure', 'history', 'drama', 'family']"
38,It Takes Two,"['comedy', 'family', 'romance']"
39,Clueless,"['comedy', 'drama', 'romance']"
40,"Cry, the Beloved Country",['drama']
41,Richard III,"['drama', 'war']"
42,Dead Presidents,"['action', 'crime', 'drama', 'history']"
43,Restoration,"['drama', 'romance']"
44,Mortal Kombat,"['action', 'fantasy']"
45,To Die For,"['fantasy', 'drama', 'comedy', 'thriller']"
46,How To Make An American Quilt,"['drama', 'romance']"
47,Se7en,"['crime', 'mystery', 'thriller']"
48,Pocahontas,"['adventure', 'animation', 'drama', 'family']"
49,When Night Is Falling,"['drama', 'romance']"
50,The Usual Suspects,"['drama', 'crime', 'thriller']"
51,Guardian Angel,"['action', 'thriller', 'drama']"
52,Mighty Aphrodite,"['comedy', 'romance']"
53,Lamerica,"['drama', 'foreign']"
54,The Big Green,"['action', 'adventure', 'comedy', 'family']"
55,Georgia,['drama']
56,Kids of the Round Table,[]
57,Home for the Holidays,"['comedy', 'drama', 'romance']"
